City_ID,City,Country,Max Temp,City_Descr,Lat,Lng,Hotel Name
438,Jimo,CN,82.4,mist,36.39,120.46,Thank Inn Chain Hotel Shandong Jimo Bus Station
439,Namatanai,PG,79.29,clear sky,-3.67,152.43,Namatanai Hotel
440,Silva Jardim,BR,77.0,broken clouds,-22.65,-42.39,Pousada Ipuca
443,Havelock,US,89.6,few clouds,34.88,-76.9,Sherwood Motel
444,San Lorenzo,PY,80.6,broken clouds,-25.33,-57.53,Canarias Hotel
447,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.17,Hotel Cortez
453,Celestun,MX,86.4,clear sky,20.87,-90.4,Posada Lilia
454,Manati,PR,87.8,haze,18.43,-66.49,Manati World Point Inn
459,Champerico,GT,86.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
462,Faanui,PF,78.44,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
469,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
470,Shirgaon,IN,80.71,light rain,19.7,72.7,LAXMI GARDEN BEACH RESORT
478,Syracuse,IT,80.6,clear sky,37.09,15.28,Hotel Posta
482,Itarema,BR,78.76,scattered clouds,-2.92,-39.92,Windvillage
483,Praia Da Vitoria,PT,77.0,light rain,38.73,-27.07,Hotel Branco I
486,Lebanon,US,89.6,broken clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
487,Takoradi,GH,75.07,scattered clouds,4.88,-1.76,Raybow International Hotel
489,North Battleford,CA,89.01,clear sky,52.78,-108.28,Tropical Inn
490,Gat,IL,81.0,clear sky,31.61,34.76,רגע בנחת
504,Bastia,FR,78.01,few clouds,42.67,9.33,Hotel Santa Maria
506,Mogadishu,SO,76.39,light rain,2.04,45.34,Hotel Juba
507,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
509,Calamar,CO,87.8,shower rain,10.25,-74.91,Canal del dique y rio magdalena
510,Palmer,US,82.4,scattered clouds,42.16,-72.33,Wedgewood Motel
512,Abu Kamal,SY,84.0,clear sky,34.45,40.92,محطة التلفاز
518,Mindelo,CV,82.4,few clouds,16.89,-24.98,Hotel Gaudi
523,Tiarei,PF,82.4,few clouds,-17.53,-149.33,Le Rocher de Tahiti
525,Ponnani,IN,75.2,light rain,10.77,75.93,Rouba Residency
528,Rafaela,AR,77.0,clear sky,-31.25,-61.49,Parra Hotel & Suites
529,Kazerun,IR,84.96,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
531,Sao Filipe,CV,79.74,broken clouds,14.9,-24.5,Tortuga B&B
532,Yarada,IN,84.2,overcast clouds,17.65,83.27,"D-26/2, Dolphin Hill,"
536,Dingle,PH,75.13,light rain,11.0,122.67,Camp Pasica
543,Acapulco,MX,86.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
544,Todos Santos,MX,80.01,light rain,23.45,-110.22,Hotel California Todos Santos
547,Springdale,US,86.0,clear sky,36.19,-94.13,Springdale Inn
548,Owase,JP,79.95,overcast clouds,34.07,136.2,ビジネスホテルフェニックス
550,Yatou,CN,76.89,broken clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
556,Curaca,BR,83.48,few clouds,-8.99,-39.91,Curaca
558,Ixtapa,MX,82.4,light rain,20.7,-105.2,Container Inn Puerto Vallarta
560,West Bay,KY,89.01,scattered clouds,19.37,-81.42,Calypso Cove
563,Shingu,JP,77.4,overcast clouds,33.73,135.98,Shingu UI Hotel
565,Frutal,BR,86.25,scattered clouds,-20.02,-48.94,Hotel Recanto Dos Ipês
566,Saint-Georges,GD,84.2,broken clouds,12.06,-61.75,Siesta Hotel
569,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
570,Marseille,FR,77.0,clear sky,43.33,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
577,Meulaboh,ID,77.94,overcast clouds,4.14,96.13,Kost Pria
579,Portland,US,82.0,few clouds,45.52,-122.68,Portland Marriott City Center
581,Shenjiamen,CN,80.33,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
584,Xuzhou,CN,80.69,light rain,34.18,117.16,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
587,Kutum,SD,75.94,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
588,Karaton,ID,77.0,mist,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
589,Phu Ly,VN,76.35,light rain,20.54,105.91,5 Star Apartment Central Phu Ly
592,Hobyo,SO,77.52,scattered clouds,5.35,48.53,Osmani Hotel
599,Manono,CD,75.9,clear sky,-7.3,27.42,Hotel hewa bora
602,Puerto Princesa,PH,79.92,light rain,9.74,118.74,Deep Forest Garden Inn
606,Broome,US,77.0,broken clouds,42.25,-75.83,Chenango Valley State Park
607,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
608,Teknaf,BD,79.83,moderate rain,20.86,92.31,Magnum Engineering & Construction
609,Vila Franca Do Campo,PT,75.2,broken clouds,37.72,-25.43,Pestana Bahia Praia
614,Naze,JP,82.4,few clouds,28.37,129.48,奄美ポートタワーホテル
615,Xuddur,SO,75.06,broken clouds,4.12,43.89,Banjanay Hotel
619,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
625,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
626,Haimen,CN,78.8,light intensity shower rain,23.19,116.61,Jinghao Business Hotel
629,Srivardhan,IN,79.45,moderate rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
630,Lumberton,US,89.6,clear sky,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
631,Waynesboro,US,81.0,moderate rain,38.07,-78.89,Holiday Inn Express & Suites Waynesboro-Route 340
632,Fasa,IR,89.6,scattered clouds,28.94,53.65,Fasa University Boys' Dormitory
637,East Moline,US,80.6,few clouds,41.5,-90.44,Residence Inn by Marriott Moline Quad Cities
638,Korla,CN,80.01,clear sky,41.76,86.15,Gulisitan Hotel
